Date,Year,QuarterOfYear,MonthOfYear,DayOfMonth,DateInt,MonthName,MonthInCalendar,QuarterInCalendar,DayInWeek,DayOfWeekName,WeekEnding,Week Number,MonthnYear,QuarternYear,ShortYear,FY
2020-01-01,2020,1,1,1,20200101,January,Jan 2020,Q1 2020,2,Wednesday,2020-01-05,1,20200100,20200100,20,FY20
2020-01-02,2020,1,1,2,20200102,January,Jan 2020,Q1 2020,3,Thursday,2020-01-05,1,20200100,20200100,20,FY20
2020-01-03,2020,1,1,3,20200103,January,Jan 2020,Q1 2020,4,Friday,2020-01-05,1,20200100,20200100,20,FY20
2020-01-04,2020,1,1,4,20200104,January,Jan 2020,Q1 2020,5,Saturday,2020-01-05,1,20200100,20200100,20,FY20
2020-01-05,2020,1,1,5,20200105,January,Jan 2020,Q1 2020,6,Sunday,2020-01-05,1,20200100,20200100,20,FY20
2020-01-06,2020,1,1,6,20200106,January,Jan 2020,Q1 2020,0,Monday,2020-01-12,2,20200100,20200100,20,FY20
2020-01-07,2020,1,1,7,20200107,January,Jan 2020,Q1 2020,1,Tuesday,2020-01-12,2,20200100,20200100,20,FY20
2020-01-08,2020,1,1,8,20200108,January,Jan 2020,Q1 2020,2,Wednesday,2020-01-12,2,20200100,20200100,20,FY20
2020-01-09,2020,1,1,9,20200109,January,Jan 2020,Q1 2020,3,Thursday,2020-01-12,2,20200100,20200100,20,FY20
2020-01-10,2020,1,1,10,20200110,January,Jan 2020,Q1 2020,4,Friday,2020-01-12,2,20200100,20200100,20,FY20
2020-01-11,2020,1,1,11,20200111,January,Jan 2020,Q1 2020,5,Saturday,2020-01-12,2,20200100,20200100,20,FY20
2020-01-12,2020,1,1,12,20200112,January,Jan 2020,Q1 2020,6,Sunday,2020-01-12,2,20200100,20200100,20,FY20
2020-01-13,2020,1,1,13,20200113,January,Jan 2020,Q1 2020,0,Monday,2020-01-19,3,20200100,20200100,20,FY20
2020-01-14,2020,1,1,14,20200114,January,Jan 2020,Q1 2020,1,Tuesday,2020-01-19,3,20200100,20200100,20,FY20
2020-01-15,2020,1,1,15,20200115,January,Jan 2020,Q1 2020,2,Wednesday,2020-01-19,3,20200100,20200100,20,FY20
2020-01-16,2020,1,1,16,20200116,January,Jan 2020,Q1 2020,3,Thursday,2020-01-19,3,20200100,20200100,20,FY20
2020-01-17,2020,1,1,17,20200117,January,Jan 2020,Q1 2020,4,Friday,2020-01-19,3,20200100,20200100,20,FY20
2020-01-18,2020,1,1,18,20200118,January,Jan 2020,Q1 2020,5,Saturday,2020-01-19,3,20200100,20200100,20,FY20
2020-01-19,2020,1,1,19,20200119,January,Jan 2020,Q1 2020,6,Sunday,2020-01-19,3,20200100,20200100,20,FY20
2020-01-20,2020,1,1,20,20200120,January,Jan 2020,Q1 2020,0,Monday,2020-01-26,4,20200100,20200100,20,FY20
2020-01-21,2020,1,1,21,20200121,January,Jan 2020,Q1 2020,1,Tuesday,2020-01-26,4,20200100,20200100,20,FY20
2020-01-22,2020,1,1,22,20200122,January,Jan 2020,Q1 2020,2,Wednesday,2020-01-26,4,20200100,20200100,20,FY20
2020-01-23,2020,1,1,23,20200123,January,Jan 2020,Q1 2020,3,Thursday,2020-01-26,4,20200100,20200100,20,FY20
2020-01-24,2020,1,1,24,20200124,January,Jan 2020,Q1 2020,4,Friday,2020-01-26,4,20200100,20200100,20,FY20
2020-01-25,2020,1,1,25,20200125,January,Jan 2020,Q1 2020,5,Saturday,2020-01-26,4,20200100,20200100,20,FY20
2020-01-26,2020,1,1,26,20200126,January,Jan 2020,Q1 2020,6,Sunday,2020-01-26,4,20200100,20200100,20,FY20
2020-01-27,2020,1,1,27,20200127,January,Jan 2020,Q1 2020,0,Monday,2020-02-02,5,20200100,20200100,20,FY20
2020-01-28,2020,1,1,28,20200128,January,Jan 2020,Q1 2020,1,Tuesday,2020-02-02,5,20200100,20200100,20,FY20
2020-01-29,2020,1,1,29,20200129,January,Jan 2020,Q1 2020,2,Wednesday,2020-02-02,5,20200100,20200100,20,FY20
2020-01-30,2020,1,1,30,20200130,January,Jan 2020,Q1 2020,3,Thursday,2020-02-02,5,20200100,20200100,20,FY20
2020-01-31,2020,1,1,31,20200131,January,Jan 2020,Q1 2020,4,Friday,2020-02-02,5,20200100,20200100,20,FY20
2020-02-01,2020,1,2,1,20200201,February,Feb 2020,Q1 2020,5,Saturday,2020-02-02,5,20200200,20200100,20,FY20
2020-02-02,2020,1,2,2,20200202,February,Feb 2020,Q1 2020,6,Sunday,2020-02-02,5,20200200,20200100,20,FY20
2020-02-03,2020,1,2,3,20200203,February,Feb 2020,Q1 2020,0,Monday,2020-02-09,6,20200200,20200100,20,FY20
2020-02-04,2020,1,2,4,20200204,February,Feb 2020,Q1 2020,1,Tuesday,2020-02-09,6,20200200,20200100,20,FY20
2020-02-05,2020,1,2,5,20200205,February,Feb 2020,Q1 2020,2,Wednesday,2020-02-09,6,20200200,20200100,20,FY20
2020-02-06,2020,1,2,6,20200206,February,Feb 2020,Q1 2020,3,Thursday,2020-02-09,6,20200200,20200100,20,FY20
2020-02-07,2020,1,2,7,20200207,February,Feb 2020,Q1 2020,4,Friday,2020-02-09,6,20200200,20200100,20,FY20
2020-02-08,2020,1,2,8,20200208,February,Feb 2020,Q1 2020,5,Saturday,2020-02-09,6,20200200,20200100,20,FY20
2020-02-09,2020,1,2,9,20200209,February,Feb 2020,Q1 2020,6,Sunday,2020-02-09,6,20200200,20200100,20,FY20
2020-02-10,2020,1,2,10,20200210,February,Feb 2020,Q1 2020,0,Monday,2020-02-16,7,20200200,20200100,20,FY20
2020-02-11,2020,1,2,11,20200211,February,Feb 2020,Q1 2020,1,Tuesday,2020-02-16,7,20200200,20200100,20,FY20
